Entity ID,SKU,Error
17751,BLU-0120-68_in-Brown,Missing or zero price for simple product
17752,BLU-0149,Missing or zero price for simple product
17753,PTZ-0678-Size_2,Missing or zero price for simple product
17754,PTZ-0757,Too many connections
17764,PTZ-0758,Too many connections
17767,PTZ-0759,Too many connections
17815,BLU-0110-6_in,Missing or zero price for simple product
17816,BLU-0166,Missing or zero price for simple product
17839,BLU-0167,Missing or zero price for simple product
17840,BDI-0901-18_cm,Missing or zero price for simple product
17841,BEA-0122-60_cm,Missing or zero price for simple product
17845,GRV-0233-20_cm-10_cm,Missing or zero price for simple product
17846,BLU-0150,Missing or zero price for simple product
17850,BDI-0956-3pk,Missing or zero price for simple product
17854,BLU-0159,Missing or zero price for simple product
17857,BDI-1065,Configurable product has no valid children
17862,BDI-1059-Gun_Metal-M,Missing or zero price for simple product
17877,BDI-1001-Dual_Rd/Or-60M,Missing or zero price for simple product
17878,PTZ-0644-Size_2,Missing or zero price for simple product
17879,BEA-0100-Size_2,Missing or zero price for simple product
17880,GRV-0246-Yellow,Missing or zero price for simple product
17890,BDI-1072,Too many connections
17901,BDI-1073,Too many connections
17915,BDI-1075,Too many connections
17936,BDI-1077,Too many connections
17957,BLU-0148,Missing or zero price for simple product
17958,BDI-1081,Too many connections
17962,BDI-1082,Too many connections
17966,"MET-0343-192""_(480cm)",Missing or zero price for simple product
17972,CMP-0221-11_cm_5pk,Missing or zero price for simple product
17976,BDI-1083,Too many connections
17987,BDI-1084,Too many connections
17999,BDI-1085,Too many connections
18007,BDI-1087,Too many connections
18013,PTZ-0709-60_cm,Missing or zero price for simple product
18014,PTZ-0772-Black,Missing or zero price for simple product
18015,BLU-0176-Red,Missing or zero price for simple product
18016,TRG-0108-17_cm,Missing or zero price for simple product
18017,PTZ-0772-Orange,Missing or zero price for simple product
18018,BLU-0174-Red,Missing or zero price for simple product
18025,PTZ-0771,Too many connections
18028,BLU-0172-Yellow,Missing or zero price for simple product
18029,BDI-0961-Ultra_Blue-L,Missing or zero price for simple product
18030,PTZ-0590-Blue-Size_1,Missing or zero price for simple product
18031,BDI-0917-Matte_Blac,Missing or zero price for simple product
18032,BLU-0176-Royal_Blue,Missing or zero price for simple product
18033,PTZ-0620-Raspberry_,Missing or zero price for simple product
